w	0.016019155016606165
o	0.06840194639684868
m	0.030508998223526686
e	0.10277284312968255
n	0.045539507221750215
i	0.05795937282768209
k	0.023094153085656908
a	0.09242295512473932
u	0.038742565845369586
s	0.10271105275353364
c	0.031219587549239206
f	0.017177724569398315
y	0.031914729280914496
l	0.05199660152931181
p	0.031096006796941376
d	0.037815710203135865
g	0.02531860662701784
t	0.050853479570556887
r	0.06416930563064803
b	0.025086892716459412
h	0.027095079941299144
j	0.004495249864833552
v	0.01070518266779949
x	0.004448907082721866
z	0.0067042558121572565
q	0.0017301305321696147
